company,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,rating_overall,other,management,culture,pay,growth,balance,environment,diff_balance,diff_culture,diff_pay,diff_career,diff_mgmt
3E ACCOUNTING,1.0,0.8006169539989308,0.822593284657273,0.8828438114171852,0.8515934534312701,0.8249709681736525,0.7692307692307693,0.8965517241379309,1.0,0.0,0.5161290322580646,0.9642857142857143,0.7727272727272726,-3.57142857142857,24.90367522261281,-100.0,-37.25586606592519,5.279311451434176
AMAZON WEB SERVICES SINGAPORE,0.5299052406432665,0.6070919478696309,0.7889153671461012,0.7471956645038509,0.6805453037912516,0.7004770327262172,0.11538461538461538,0.6896551724137928,0.0,0.6000000000000001,0.2580645161290323,0.6428571428571428,0.5909090909090906,21.315490685987722,-100.0,-19.69974820472104,-67.2886944688909,1.3386131050778063
ASUS GLOBAL PTE. LTD.,0.17583671128907244,0.09451279443642518,0.21260655729606343,0.20452195018995362,0.11101277029967825,0.179506324137317,0.30769230769230776,0.6896551724137928,0.2758620689655172,0.6400000000000001,0.4516129032258065,0.5714285714285715,0.4090909090909089,224.97683062847616,191.87801568080616,212.92484714016666,112.41720338706055,521.2394939357636
BYTEDANCE,0.351082433832221,0.5669265909598018,0.6369620474684952,0.71684593697398,0.529287334596749,0.5826632465260134,0.15384615384615388,0.6896551724137928,0.5172413793103449,0.56,0.3870967741935484,0.7142857142857143,0.6818181818181815,103.45242183978502,-8.763958586832256,-21.880006411987676,-39.227654813657544,30.298823972280406
CAROUSELL,0.5030400488651626,0.5056171618359682,0.38887206661619983,0.49581078833928144,0.31126076665117364,0.3609488451769784,0.8076923076923077,0.1724137931034482,0.5517241379310346,0.07999999999999997,0.6129032258064516,0.607142857142857,0.5909090909090906,20.694735640342344,9.11894998335211,-83.86481256933516,57.61050443650431,-44.60792635113234
CIRCLES.LIFE,0.6093576163274463,0.3127370732681174,0.7059795609386826,0.42300724637681164,0.37050298220861155,0.3489886789973357,0.4615384615384615,0.0,0.1379310344827586,0.03999999999999999,0.8387096774193549,0.8928571428571428,0.9090909090909091,46.524326427283754,-55.89552813762287,-90.54389721627409,18.800844078855764,-100.00000000000001
CISCO SYSTEMS,0.771162761693072,0.6893766028346919,0.6999471818693088,0.6486732080611681,0.633389343197305,0.6613635643611823,0.11538461538461538,0.9310344827586207,0.3448275862068966,0.6000000000000001,0.32258064516129037,0.7142857142857143,1.0,-7.375491949648253,-49.97979554441246,-7.503502141956553,-53.91357326422934,46.99244513000864
CRIMSONLOGIC,0.294412535186002,0.25478290021357786,0.2720807781412023,0.3963126143239061,0.20293214391757308,0.2539290413665627,0.38461538461538464,0.6896551724137928,0.37931034482758624,0.36000000000000004,0.5483870967741935,0.5357142857142857,0.6818181818181815,81.9604200533906,48.87590356716258,-9.162618854778051,101.55304631244329,239.84521086709492
DATHENA,0.8048447565000325,0.6047115192653225,0.6886827885210927,0.767610678332502,0.6091644791685754,0.7040561124554751,0.5769230769230769,0.48275862068965497,0.41379310344827597,0.36000000000000004,0.35483870967741943,0.14285714285714288,0.7272727272727271,-82.25034806980976,-31.571817260732455,-53.101225639273785,-48.475740124213715,-20.750694238023666
DEFENCE SCIENCE AND TECHNOLOGY AGENCY,0.5083731957107437,0.2070245455136258,0.13310667775282023,0.5759892345524948,0.20959334494280685,0.2530920665689615,0.34615384615384615,0.8275862068965516,0.37931034482758624,0.9200000000000002,0.4516129032258065,0.8214285714285713,0.6363636363636361,61.57983512095928,83.21998673467492,59.725207488431394,239.2864361504491,294.85328464144726
