company,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,rating_overall,other,management,culture,pay,growth,balance,environment,diff_balance,diff_culture,diff_pay,diff_career,diff_mgmt
3E ACCOUNTING,1.0,0.8006169539989308,0.822593284657273,0.8828438114171852,0.8515934534312701,0.8249709681736525,0.4482758620689656,0.8055555555555557,0.9259259259259263,0.0,0.5161290322580646,0.7500000000000001,0.47368421052631593,-24.99999999999999,15.651551132048942,-100.0,-37.25586606592519,-5.406088749298967
AMAZON WEB SERVICES SINGAPORE,0.5299052406432665,0.6070919478696309,0.7889153671461012,0.7471956645038509,0.6805453037912516,0.7004770327262172,0.13793103448275862,0.6388888888888888,0.0,0.7142857142857142,0.19354838709677422,0.6944444444444444,0.368421052631579,31.05068438301144,-100.0,-4.404462148477454,-75.46652085166816,-6.121034804045945
ASUS GLOBAL PTE. LTD.,0.17583671128907244,0.09451279443642518,0.21260655729606343,0.20452195018995362,0.11101277029967825,0.179506324137317,0.2758620689655173,0.5555555555555556,0.2962962962962964,0.7142857142857142,0.3870967741935484,0.6388888888888891,0.2105263157894736,263.34215091100464,213.4986094349401,249.24648118322162,82.07188861748045,400.4429256704764
BYTEDANCE,0.351082433832221,0.5669265909598018,0.6369620474684952,0.71684593697398,0.529287334596749,0.5826632465260134,0.13793103448275862,0.5555555555555556,0.5185185185185186,0.6071428571428571,0.2258064516129032,0.5833333333333334,0.3157894736842105,66.15281116915776,-8.53868441050344,-15.303578380343795,-64.5494653079669,4.962941533225928
CAROUSELL,0.5030400488651626,0.5056171618359682,0.38887206661619983,0.49581078833928144,0.31126076665117364,0.3609488451769784,0.7931034482758621,0.36111111111111116,0.814814814814815,0.21428571428571425,0.5806451612903226,0.7222222222222223,0.42105263157894746,43.571515598315784,61.152523355043165,-56.78074795357632,49.31521472931988,16.015620920128438
CIRCLES.LIFE,0.6093576163274463,0.3127370732681174,0.7059795609386826,0.42300724637681164,0.37050298220861155,0.3489886789973357,0.7586206896551724,0.0,0.18518518518518517,0.14285714285714288,0.6774193548387097,1.0,1.0,64.10724559855781,-40.785662777364024,-66.22820434383603,-4.045472090154955,-100.00000000000001
CISCO SYSTEMS,0.771162761693072,0.6893766028346919,0.6999471818693088,0.6486732080611681,0.633389343197305,0.6613635643611823,0.10344827586206896,0.7500000000000001,0.3333333333333335,0.5714285714285714,0.2258064516129032,0.5833333333333334,0.7368421052631576,-24.356651758879405,-51.647135692932025,-11.908097278053878,-67.73950128496055,18.410580799173648
CRIMSONLOGIC,0.294412535186002,0.25478290021357786,0.2720807781412023,0.3963126143239061,0.20293214391757308,0.2539290413665627,0.3448275862068965,0.6111111111111112,0.4444444444444445,0.4285714285714285,0.5806451612903226,0.4722222222222224,0.5263157894736844,60.39474063965549,74.44045266455413,8.139739458597527,113.40910786023409,201.1406174072315
DATHENA,0.8048447565000325,0.6047115192653225,0.6886827885210927,0.767610678332502,0.6091644791685754,0.7040561124554751,0.48275862068965525,0.36111111111111116,0.2962962962962964,0.3214285714285714,0.2258064516129032,0.1666666666666667,0.3157894736842105,-79.2920727481114,-51.00204198916645,-58.12609432078017,-67.21183462449966,-40.72026136455338
DEFENCE SCIENCE AND TECHNOLOGY AGENCY,0.5083731957107437,0.2070245455136258,0.13310667775282023,0.5759892345524948,0.20959334494280685,0.2530920665689615,0.4137931034482759,0.6666666666666666,0.48148148148148157,1.0,0.3870967741935484,0.6944444444444444,0.368421052631579,36.601309884868975,132.57217171371195,73.61435596568627,190.8169452718135,218.076257072277
DSO NATIONAL LABORATORIES,0.5565417924913441,0.19651423554107456,0.06868585875660539,0.49091009684148423,0.1763862685447353,0.2379891367224222,0.4482758620689656,0.5,0.3333333333333335,0.6428571428571429,0.41935483870967744,0.8611111111111112,0.47368421052631593,54.72532750081012,69.62299571608469,30.952112615586035,510.5402863138097,183.468777997982
DYSON,0.3055408773083439,0.039859509834467045,0.0,0.2623600891740286,0.0,0.0,0.5862068965517241,0.5277777777777778,0.48148148148148157,0.6785714285714286,0.3548387096774195,0.5555555555555556,0.368421052631579,81.82691640140294,1107.9463181585293,158.64125550030548,inf,inf
ERICSSON,0.748782359692433,0.6876705054327902,0.6348706076663684,0.5780258203287102,0.46091061661305505,0.6163037324722492,0.03448275862068964,0.8055555555555557,0.22222222222222224,0.5,0.2903225806451613,0.6666666666666666,0.7368421052631576,-10.966563509788868,-67.68478210616797,-13.49867386275905,-54.27059039442427,74.77478854253381
EXPERIS SINGAPORE,0.43851277972437397,0.15027864712983152,0.1579565057332686,0.243402522436259,0.15979114144932002,0.1723071241085657,0.5517241379310345,0.5,0.1481481481481483,0.6428571428571429,0.25806451612903225,0.33333333333333337,0.05263157894736847,-23.985491701553343,-1.417699069278016,164.1127694251776,63.376946667084326,212.90846004663024
EY,0.0,0.27794219110264745,0.5587658086979461,0.34390168751846306,0.23758137251251157,0.3454380046627544,0.03448275862068964,0.6666666666666666,0.2962962962962964,0.4285714285714285,0.6774193548387097,0.8055555555555557,0.3157894736842105,inf,6.603569296491062,24.620333114364193,21.234933185560138,180.60561298068873
FACEBOOK,0.6683493666132198,0.6951098412467949,0.7593393915828038,0.8680573603673449,0.7991315475214784,0.7510954460400092,0.24137931034482757,0.6944444444444444,0.3333333333333335,0.8214285714285714,0.16129032258064516,0.5,0.5263157894736844,-25.188827134872586,-52.04594820072683,-5.37162531736856,-78.75912610770214,-13.100108912196374
GIC,0.5590568317216347,0.2559871105249987,0.2495234212237849,0.6167340047036123,0.24961854662552413,0.29680202366116276,0.4482758620689656,0.5833333333333334,0.8518518518518521,0.7142857142857142,0.48387096774193555,0.36111111111111116,0.3157894736842105,-35.40708374870277,232.7713845063553,15.817468931193917,93.9180560160628,133.68990053789778
GO-JEK,0.6586669954275418,0.6747853863046519,0.6341018622255866,0.6935128511795885,0.5250405330770136,0.6451707718055636,0.2758620689655173,0.6388888888888888,0.5555555555555557,0.4285714285714285,0.6129032258064516,0.6111111111111112,0.6842105263157898,-7.220019318800398,-17.669296515450373,-38.20281371246748,-3.343096382769086,21.683726996211895
GOLDMAN SACHS,0.2659246731567322,0.5548538945687238,0.6865154004942188,0.7229292888535744,0.6207882362539286,0.6207146844741805,0.0,0.8333333333333335,0.3333333333333335,0.5,0.3225806451612904,0.6944444444444444,0.47368421052631593,161.14329151968116,-39.92412478379981,-30.83694246322445,-53.011885104242914,34.23793890844041
GOVTECH,0.5690076391110453,0.33425097981527985,0.33274684638213214,0.6594454159882611,0.3013223608957975,0.3832256447665445,0.4137931034482759,0.4722222222222222,0.5185185185185186,0.5,0.3870967741935484,0.44444444444444453,0.6315789473684214,-21.891304457916345,55.12849619919505,-24.17871322212655,16.333716878867083,56.7166209697676
GRAB TAXI,0.46076040278814656,0.46484352118282907,0.5164791787893435,0.565513643284432,0.40573582513134276,0.4768310016716667,0.31034482758620696,0.3333333333333333,0.48148148148148157,0.39285714285714285,0.3870967741935484,0.5833333333333334,0.368421052631579,26.602314305542595,3.5792604479709573,-30.530916889028873,-25.050846173329735,-17.844737218995064
