company,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,rating_overall,other,management,culture,pay,growth,balance,environment,diff_balance,diff_culture,diff_pay,diff_career,diff_mgmt
3E ACCOUNTING,1.0,0.8006169539989308,0.822593284657273,0.8828438114171852,0.8515934534312701,0.8249709681736525,0.5000000000000001,0.9696969696969697,0.8787878787878787,0.0,0.5142857142857142,0.8529411764705882,0.43478260869565244,-14.70588235294118,9.763835801690032,-100.0,-37.47995225854691,13.868532665420663
AMAZON WEB SERVICES SINGAPORE,0.5299052406432665,0.6070919478696309,0.7889153671461012,0.7471956645038509,0.6805453037912516,0.7004770327262172,0.13333333333333333,0.696969696969697,0.0,0.6857142857142858,0.2571428571428572,0.7647058823529412,0.47826086956521724,44.30993009705732,-100.0,-8.228283662538328,-67.40552056007343,2.4134165774044387
ASUS GLOBAL PTE. LTD.,0.17583671128907244,0.09451279443642518,0.21260655729606343,0.20452195018995362,0.11101277029967825,0.179506324137317,0.26666666666666666,0.6060606060606061,0.2121212121212121,0.6285714285714287,0.3714285714285714,0.6470588235294118,0.2173913043478261,267.9884699763627,124.43650448183203,207.3369034412351,74.70231217343957,445.9377370950652
BYTEDANCE,0.351082433832221,0.5669265909598018,0.6369620474684952,0.71684593697398,0.529287334596749,0.5826632465260134,0.13333333333333333,0.696969696969697,0.48484848484848486,0.6,0.3142857142857142,0.6764705882352942,0.43478260869565244,92.68141127179639,-14.47773087735388,-16.300006869986806,-50.65864355108863,31.680781196228892
CAROUSELL,0.5030400488651626,0.5056171618359682,0.38887206661619983,0.49581078833928144,0.31126076665117364,0.3609488451769784,0.8333333333333334,0.4848484848484849,0.7272727272727271,0.22857142857142862,0.5714285714285714,0.8235294117647058,0.5217391304347825,63.710506474097606,43.83861588714589,-53.89946448381473,46.9451319558386,55.76922529136126
CIRCLES.LIFE,0.6093576163274463,0.3127370732681174,0.7059795609386826,0.42300724637681164,0.37050298220861155,0.3489886789973357,0.7,0.0,0.09090909090909097,0.2571428571428572,0.8857142857142857,1.0,0.8260869565217394,64.10724559855781,-70.9311435452514,-39.21076781890487,25.45891336239602,-100.00000000000001
CISCO SYSTEMS,0.771162761693072,0.6893766028346919,0.6999471818693088,0.6486732080611681,0.633389343197305,0.6613635643611823,0.1,0.8787878787878787,0.33333333333333337,0.6,0.3142857142857142,0.7058823529411765,0.8260869565217394,-8.46519204435827,-51.647135692932046,-7.503502141956571,-55.09865280886346,38.74371083539535
CRIMSONLOGIC,0.294412535186002,0.25478290021357786,0.2720807781412023,0.3963126143239061,0.20293214391757308,0.2539290413665627,0.30000000000000004,0.6666666666666667,0.33333333333333337,0.4285714285714286,0.6,0.5,0.47826086956521724,69.82972538316457,30.830339498415608,8.139739458597555,120.52274478890854,228.5170371715253
DATHENA,0.8048447565000325,0.6047115192653225,0.6886827885210927,0.767610678332502,0.6091644791685754,0.7040561124554751,0.30000000000000004,0.6060606060606061,0.36363636363636354,0.34285714285714286,0.2857142857142858,0.058823529411764684,0.04347826086956503,-92.69131979345109,-39.866142441249764,-55.33450060883218,-58.51293360650975,-0.5095295628868067
DEFENCE SCIENCE AND TECHNOLOGY AGENCY,0.5083731957107437,0.2070245455136258,0.13310667775282023,0.5759892345524948,0.20959334494280685,0.2530920665689615,0.3666666666666667,0.8181818181818183,0.48484848484848486,1.0,0.4857142857142856,0.8529411764705882,0.47826086956521724,67.7785500232979,134.19855053688474,73.61435596568627,264.9060241862993,290.3663154977946
DSO NATIONAL LABORATORIES,0.5565417924913441,0.19651423554107456,0.06868585875660539,0.49091009684148423,0.1763862685447353,0.2379891367224222,0.4,0.5454545454545454,0.30303030303030304,0.6285714285714287,0.5142857142857142,0.9705882352941176,0.5217391304347825,74.39628944114081,54.20272337825875,28.042065668573024,648.7505049738588,209.23866690688942
DYSON,0.3055408773083439,0.039859509834467045,0.0,0.2623600891740286,0.0,0.0,0.5333333333333333,0.5454545454545454,0.39393939393939387,0.6857142857142858,0.4285714285714286,0.5882352941176472,0.3913043478260872,92.52261736619138,888.3197148569781,161.3637950318877,inf,inf
ERICSSON,0.748782359692433,0.6876705054327902,0.6348706076663684,0.5780258203287102,0.46091061661305505,0.6163037324722492,0.0,0.9393939393939393,0.2121212121212121,0.5142857142857143,0.3714285714285714,0.7647058823529412,0.7826086956521742,2.1265889152421957,-69.1536556467967,-11.027207401695014,-41.495390250644384,103.81260607467888
EXPERIS SINGAPORE,0.43851277972437397,0.15027864712983152,0.1579565057332686,0.243402522436259,0.15979114144932002,0.1723071241085657,0.5000000000000001,0.5151515151515152,0.06060606060606065,0.5714285714285714,0.3142857142857142,0.3235294117647059,0.04347826086956503,-26.2212125338606,-59.67087689197738,134.76690615571337,98.9697814766991,222.39053459349788
EY,0.0,0.27794219110264745,0.5587658086979461,0.34390168751846306,0.23758137251251157,0.3454380046627544,0.03333333333333332,0.7575757575757577,0.27272727272727276,0.4285714285714286,0.7428571428571428,0.9411764705882354,0.43478260869565244,inf,-1.8762600793662,24.620333114364225,32.94606278579789,218.87001475078273
FACEBOOK,0.6683493666132198,0.6951098412467949,0.7593393915828038,0.8680573603673449,0.7991315475214784,0.7510954460400092,0.2333333333333333,0.8484848484848484,0.33333333333333337,0.8285714285714287,0.2571428571428572,0.5882352941176472,0.6521739130434783,-11.986855452791257,-52.045948200726855,-4.548769885345655,-66.13597819456511,6.175866929098242
GIC,0.5590568317216347,0.2559871105249987,0.2495234212237849,0.6167340047036123,0.24961854662552413,0.29680202366116276,0.43333333333333335,0.696969696969697,0.7878787878787877,0.7428571428571429,0.5428571428571428,0.35294117647058826,0.43478260869565244,-36.868461944433484,207.7806481205024,20.450167688441695,117.55759046373518,179.2139071361896
GO-JEK,0.6586669954275418,0.6747853863046519,0.6341018622255866,0.6935128511795885,0.5250405330770136,0.6451707718055636,0.26666666666666666,0.7575757575757577,0.5454545454545455,0.4285714285714286,0.657142857142857,0.7352941176470589,0.7391304347826089,11.633666595026257,-19.16621839698765,-38.20281371246747,3.6336425249407953,44.2890043433343
GOLDMAN SACHS,0.2659246731567322,0.5548538945687238,0.6865154004942188,0.7229292888535744,0.6207882362539286,0.6207146844741805,0.0,1.0,0.36363636363636354,0.5142857142857143,0.4285714285714286,0.7941176470588235,0.6521739130434783,198.62503453780008,-34.462681582327114,-28.860855105030854,-37.572933067065605,61.08552669012847
GOVTECH,0.5690076391110453,0.33425097981527985,0.33274684638213214,0.6594454159882611,0.3013223608957975,0.3832256447665445,0.4,0.5151515151515152,0.48484848484848486,0.5142857142857143,0.4857142857142856,0.5,0.6521739130434783,-12.127717515155906,45.05521722522132,-22.01239074275873,45.97111617895938,70.96358651247378
GRAB TAXI,0.46076040278814656,0.46484352118282907,0.5164791787893435,0.565513643284432,0.40573582513134276,0.4768310016716667,0.30000000000000004,0.3636363636363636,0.4242424242424242,0.4000000000000001,0.4285714285714286,0.6176470588235293,0.43478260869565244,34.049509264692134,-8.734357926962678,-29.267842650647566,-17.02057969190077,-10.37607696617644
HAYS,0.33508239215927055,0.4284651264088277,0.5476789212415526,0.4342728709129002,0.37495862299554095,0.40529222915998364,0.26666666666666666,0.7878787878787881,0.5151515151515151,0.7428571428571429,0.9714285714285714,0.6764705882352942,0.3913043478260872,101.88186668840413,20.231842313340113,71.0576903631021,77.37191148901731,110.12419492701136
HP,0.775325304148107,0.690072819091748,0.5410836638909915,0.5494804809030222,0.45297042846869573,0.599541714301791,0.1,0.7878787878787881,0.33333333333333337,0.6,0.4571428571428572,0.7352941176470589,0.8695652173913047,-5.16314717021039,-51.69591902314655,9.194051627448804,-15.513461660347835,73.93603166155415
IBM,0.5939116557940242,0.47177769926958374,0.5223743217259651,0.45730009863621174,0.2623206904774938,0.48400579779735453,0.13333333333333333,0.7878787878787881,0.24242424242424243,0.5428571428571429,0.6,0.8235294117647058,0.6956521739130436,38.66193797185148,-48.61473045471018,18.70916810997518,14.86016349684909,200.34946402612698
ILLUMINA,0.5159398884531725,0.5433386201954,0.4819937334695207,0.6555935488891668,0.45408843615330624,0.5133422925964393,0.6333333333333334,0.5454545454545454,0.6969696969696968,0.6857142857142858,0.5428571428571428,0.6176470588235293,0.7391304347826089,19.712988401668795,28.275383170636143,4.594422394203762,12.627427528883192,20.120774286882032
INFINEON TECHNOLOGIES,0.6962348200265179,0.5077424604380524,0.37287084745459237,0.5023849353383616,0.3799881239986704,0.4874894654552141,0.20000000000000004,0.6363636363636364,0.33333333333333337,0.5714285714285714,0.4857142857142856,0.7941176470588235,0.7391304347826089,14.05888131659049,-34.349919633321264,13.743174055111382,30.263411320573976,67.46934869097727
INLAND REVENUE AUTHORITY OF SINGAPORE,0.6785822398019493,0.3919459823802305,0.2265130295230887,0.553277050794991,0.3181011049423418,0.4046782027712965,0.16666666666666669,0.5454545454545454,0.5454545454545455,0.4000000000000001,0.4,0.8529411764705882,0.43478260869565244,25.69459181830742,39.16574476464334,-27.703489702808145,76.59028305885055,71.47206877933138
INTEGRATED HEALTH INFORMATION SYSTEMS PTE. LTD.,0.14156031949339795,0.0,0.03314477689578328,0.4370256565051532,0.0023549283873907515,0.05264393645727335,0.26666666666666666,0.696969696969697,0.2121212121212121,0.9428571428571428,0.3142857142857142,0.5588235294117647,0.30434782608695665,294.7600086038425,inf,115.7441168093126,848.2209377179366,29496.216203497206
KPMG,0.04764345981491537,0.30807790657667267,0.5265679411562298,0.37982158321719867,0.20109070613415508,0.3568149423472952,0.03333333333333332,0.7575757575757577,0.27272727272727276,0.5428571428571429,0.5714285714285714,0.8823529411764707,0.3913043478260872,1751.991741582628,-11.474576103886255,42.92424834286296,8.519438189464642,276.73335189859586
LAZADA,0.006774468425888134,0.0051736196509301466,0.13796771584525294,0.29616374198476364,0.013745221745551747,0.04601673937617478,0.5000000000000001,0.7575757575757577,0.6060606060606061,0.4000000000000001,0.6285714285714286,0.5294117647058824,0.3478260869565219,7714.808947706866,11614.440700171004,35.060422089270595,355.59312533407854,5411.557191290317
MICRON,0.12312603417739275,0.2606268358210825,0.32687257445270096,0.4929718050756531,0.18873015081231675,0.30411434885404354,0.16666666666666669,0.7878787878787881,0.39393939393939387,0.8000000000000002,0.4857142857142856,0.8235294117647058,0.43478260869565244,568.8507570853888,51.15074113466543,62.28108621287773,48.594383156048266,317.4631263142986
NANYANG TECHNOLOGICAL UNIVERSITY,0.6887322544354171,0.38309425782916906,0.35008110925929525,0.4516320496422738,0.312479838756036,0.5073445020150736,0.06666666666666668,0.8181818181818183,0.030303030303030325,0.5428571428571429,0.1428571428571429,0.7058823529411765,0.5217391304347825,2.490096607979845,-92.08992834433369,20.19898572015121,-59.19313008365366,161.83507436478217
NATIONAL UNIVERSITY OF SINGAPORE,0.7063456234265832,0.46050416643038655,0.40183897857276785,0.4880244511378061,0.4002683615381606,0.5706075682645679,0.1,0.8787878787878787,0.09090909090909097,0.6,0.2571428571428572,0.7941176470588235,0.5217391304347825,12.426214691675394,-80.25879079145454,22.9446595557104,-36.00848328448259,119.54967297711269
NTT,0.3931927481765587,0.07187600216920044,0.03134891125261623,0.29755562579320605,0.039890247201968085,0.08383049477659674,0.43333333333333335,0.5454545454545454,0.24242424242424243,0.5142857142857143,0.3428571428571428,0.3823529411764706,0.3913043478260872,-2.7568684952502185,237.28119971609044,72.83683106806069,993.6811811240482,1267.3882307443662
NTUC INCOME INSURANCE CO-OPERATIVE,0.523208138215254,0.3188380318411932,0.12572017580530365,0.2883388040800641,0.17543333968519764,0.3059282717805015,0.16666666666666669,0.8181818181818183,0.48484848484848486,0.6857142857142858,0.4285714285714286,0.7352941176470589,0.5217391304347825,40.535680533422855,52.06733087913996,137.81547124815046,240.89311904489784,366.37761080646703
OCBC BANK,0.19547762036466382,0.27643754754954597,0.2665872435267863,0.43508019554646743,0.2154554846985594,0.30915906898399786,0.3666666666666667,0.8787878787878787,0.6060606060606061,0.6857142857142858,0.4,0.9705882352941176,0.47826086956521724,396.52140919430246,119.23961177957624,57.606412043880354,50.04468882615855,307.87445258930296
PEOPLE PROFILERS,0.7573580018022382,0.35316430425234585,0.2913005299015896,0.5256789081187563,0.3404261650794507,0.4666681712291762,0.5333333333333333,0.7878787878787881,0.5454545454545455,0.4000000000000001,0.3714285714285714,0.7352941176470589,0.17391304347826084,-2.913270091908355,54.44781335114856,-23.90792291220557,27.50700163643764,131.43896348123187
PROPERTYGURU.COM,0.38212674633491345,0.16745058893990816,0.009357817411052216,0.15866528019438061,0.04671434345113073,0.1306729313396456,0.7,0.9090909090909091,0.7272727272727271,0.4285714285714286,0.7142857142857142,0.8529411764705882,0.6956521739130436,123.20897049248453,334.3207938992191,170.11040351511454,7533.037522639568,1846.0637609986668
PRUDENTIAL SINGAPORE,0.3348437599148785,0.22097367595470999,0.3133363488674736,0.45455544789388186,0.19522773755936446,0.25307435930994227,0.26666666666666666,0.7878787878787881,0.24242424242424243,0.7142857142857143,0.1714285714285714,0.8235294117647058,0.17391304347826084,145.9443807386637,9.707294942194327,57.13940237549804,-45.289280337827144,303.56908179567023
SCIENTE INTERNATIONAL PTE LTD,0.33947456046164914,0.13755240566979432,0.17421468584405767,0.0,0.2716791544985119,0.1435958251815506,0.43333333333333335,0.9393939393939393,0.39393939393939387,0.4000000000000001,1.0,0.9705882352941176,0.0,185.90897473266372,186.39222412807325,inf,474.00442170249414,245.7732858186898
SEA LIMITED,0.1100483573726982,0.1925123013869153,0.16503148238856474,0.46383433069302027,0.12407527883943743,0.18667213798790075,0.20000000000000004,0.8181818181818183,0.36363636363636354,0.7142857142857143,0.3142857142857142,0.5294117647058824,0.30434782608695665,381.07193723295285,88.88993639191891,53.995870296726785,90.43985410355346,559.4237190799353
SEMBCORP INDUSTRIES LTD,0.25352986602593464,0.035005283173214885,0.14766243159057357,0.2557797166569568,0.09121825172354746,0.18239487778562513,0.13333333333333333,0.696969696969697,0.36363636363636354,0.7142857142857143,0.3714285714285714,0.7058823529411765,0.2173913043478261,178.42177491979146,938.804233740947,179.25815370406806,151.53897807834997,664.0682470893908
SEPHORA,0.3780955517875298,0.4719892179058921,0.3348286841251502,0.3731322123134083,0.23295344827979178,0.37840855205529594,0.20000000000000004,0.7272727272727274,0.1212121212121213,0.6285714285714287,0.3428571428571428,0.9411764705882354,0.3913043478260872,148.9255602555007,-74.31887920026824,68.45809818302875,2.397781048230553,212.1965923420146
SHOPEE,0.23422114686556444,0.3152664187513323,0.34100678445431554,0.5416387990673333,0.29128381531056674,0.33311507608979546,0.16666666666666669,0.696969696969697,0.5151515151515151,0.48571428571428577,0.4285714285714286,0.8529411764705882,0.5217391304347825,264.16061823834787,63.40196243921653,-10.325056744336974,25.678270377299206,139.27511943174326
SINGAPORE MANAGEMENT UNIVERSITY,0.6412792680965193,0.3994073825009719,0.37142276534131186,0.545322332926104,0.3826457965775273,0.5537347638266372,0.26666666666666666,0.7575757575757577,0.27272727272727276,0.7142857142857143,0.1714285714285714,0.6764705882352942,0.5652173913043478,5.487674697987935,-31.717017592530574,30.984130147940657,-53.84543236841167,97.9835566865469
SINGAPORE POOLS,0.40251732100872084,0.1778247430487192,0.044583929923218524,0.27074897466764647,0.07259926969120992,0.2936729104164888,0.03333333333333332,0.7878787878787881,0.48484848484848486,0.5142857142857143,0.3142857142857142,0.7941176470588235,0.04347826086956503,97.28781983064484,172.65524276092972,89.9492749389051,604.9304868973422,985.2434070341369
SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN (SUTD),0.7746445470375506,0.36248086777134486,0.42511292311019794,0.4137745164938519,0.3373247961810626,0.47457042388358306,0.46666666666666673,0.6060606060606061,0.06060606060606065,0.31428571428571433,0.0,0.3823529411764706,0.2173913043478261,-50.64149839578794,-83.2802042825909,-24.044207229377747,-100.0,79.66678196265677
SINGTEL,0.3559941108513942,0.1450982944356545,0.17547737631918792,0.30258567135528486,0.1409983616579941,0.20889216932996896,0.46666666666666673,0.8787878787878787,0.5454545454545455,0.6,0.7714285714285714,0.7647058823529412,0.47826086956521724,114.80857661495395,275.92071469622516,98.29094924177764,339.6171105415701,523.2610566918985
STANDARD CHARTERED BANK,0.47362800829177665,0.2651666025544263,0.29397241550355463,0.48319269587675306,0.1740845059332931,0.2991088059451365,0.1,0.8181818181818183,0.45454545454545453,0.6857142857142858,0.2571428571428572,0.6176470588235293,0.3913043478260872,30.407629618692297,71.4188175157381,41.913214244693286,-12.528236126376328,369.99117686862655
TEMASEK POLYTECHNIC,0.649122425779338,0.18234848505566686,0.1143351674219406,0.321348236641089,0.07880559703532243,0.2101895913727905,0.46666666666666673,0.5757575757575757,0.45454545454545453,0.4571428571428572,0.2571428571428572,0.9705882352941176,0.3913043478260872,49.52314028109983,149.27295360128278,42.25777677237917,124.90268124933202,630.6049283523711
THALES GROUP,0.5296666370465647,0.25690159097707166,0.2775548861611942,0.49797544649751513,0.1897427823834496,0.33022082894312,0.2333333333333333,0.6666666666666667,0.24242424242424243,0.7142857142857143,0.3142857142857142,0.5588235294117647,0.5217391304347825,5.504762868920655,-5.635367417448701,43.437938418371104,13.233716989290548,251.35284635987136
THE CHOPE GROUP,0.4542635304595271,0.5182005723031877,0.43585095466397505,0.2792669199380892,0.25449240185327726,0.3293987516341281,0.46666666666666673,0.3333333333333334,0.5454545454545455,0.2571428571428572,0.3142857142857142,0.0,0.30434782608695665,-100.0,5.259348331134629,-7.9221924315764785,-27.89147048490077,30.979679906322076
TIKTOK,0.5118405291907078,0.6820754489053464,0.7912148237438343,0.7282843206228601,0.7111208299766703,0.6425622715473733,0.3333333333333333,0.8181818181818183,0.6060606060606061,0.5142857142857143,0.5142857142857142,0.5882352941176472,0.5652173913043478,14.925501317320522,-11.144638465837694,-29.383937052787974,-35.00049558573227,15.05524570397698
TUV SUD ASIA PACIFIC PTE. LTD.,0.45565467297409823,0.256914646147947,0.17430065195570033,0.26472933951445116,0.19034466310697867,0.25341288043825083,0.4,0.4545454545454546,0.27272727272727276,0.4285714285714286,0.5428571428571428,0.5882352941176472,0.3913043478260872,29.09673246148965,6.154817102260446,61.89041583282217,211.44871620739178,138.80126036945316
TWITTER INC,0.7188189828275934,0.6591838113449024,0.5199002393971649,0.7109012017397398,0.4094864758388185,0.564274999898547,0.6333333333333334,0.6060606060606061,0.7272727272727271,0.7142857142857143,0.4,0.5588235294117647,0.8260869565217394,-22.258100751104273,10.329276107206871,0.4760876107245013,-23.06216275956935,48.00503601959319
UNITED OVERSEAS BANK,0.1608422869256256,0.08132624000320736,0.13448624772246734,0.33107137665103714,0.11741877607984418,0.13199009015603372,0.1,0.696969696969697,0.27272727272727276,0.6857142857142858,0.4285714285714286,0.7058823529411765,0.17391304347826084,338.86615045928846,235.3496641631494,107.11977358195388,218.67305083554004,493.57601930355764
URBAN REDEVELOPMENT AUTHORITY,0.42415927300604883,0.33928020472240866,0.28509143211065996,0.5906247034531956,0.27740807204692347,0.4088982386790001,0.20000000000000004,0.7272727272727274,0.7878787878787877,0.2571428571428572,0.5714285714285714,0.911764705882353,1.0,114.9580980325168,132.22067686601764,-56.46256317430945,100.43695006827421,162.1671106779148
ZALORA SEA,0.6414525199378709,0.5753392396679987,0.49476501967523917,0.38155395068136305,0.43998357369513963,0.5150393638358444,0.3666666666666667,0.4545454545454546,0.6666666666666664,0.37142857142857144,0.7142857142857142,0.5882352941176472,0.6521739130434783,-8.296362422175559,15.873665604899202,-2.653721507721289,44.36867722673019,3.3096419323155786
ZOOM VIDEO COMMUNICATIONS,0.9947377747172818,1.0,1.0,1.0,1.0,1.0,1.0,0.696969696969697,1.0,0.6285714285714287,0.6857142857142856,0.6470588235294118,0.7391304347826089,-34.951819466862524,0.0,-37.14285714285713,-31.428571428571438,-30.303030303030297
